sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
PRO;NA;PORORO;Agustín Codazzi;Cesar;Aeródromo;9.935;-73.2687;PALMAS PORORO SAS;PALMAS PORORO SAS;900;18;6000;10 | 28;328;276;NA;43158;1A;Privado;6;20;20013,,,
PRR;NA;JIBICI;Cumaribo;Vichada;Aeródromo;4.8897;-68.3582;JORGE E. PINZON K.;JORGE E. PINZON K.;1100;15;5000;03 | 21;368;5921;NA;07/11/2015;1A;Privado;7;99;99773,,,
PRT;NA;PALMARITO;Yopal;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;85;85001,,,
PRU;NA;ESTELIDA ARIGUANEY;Puerto Carreño;Vichada;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;99;99001,,,
PSO;PSO;ANTONIO NARIÑO;Pasto;Nariño;Nacional;1.3964;-77.291;AEROCIVIL;AEROCIVIL;2177;40;43/F/C/X/U;02 | 20;5896;95;24/04/1957;NA;4C;Aerocivil;23045;52;52001,,,
PTA;NA;PALESTINA;Pivijay;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;47;47551,,,
PTC;NA;LA VICTORIA;Cumaribo;Vichada;Aeródromo;3.8281;-70.5893;INSPECCION POLICIA;MUNICIPIO;750;10;2000;04 | 22;426;4087;NA;NA;1A;Público;1821;99;99773,,,
PTE;NA;LA REFORMA;Puerto López;Meta;Aeródromo;4.0625;-73.1483;SOCIEDAD DE ACTIVOS;FARO LTDA.;940;10;2000;08 | 26;940;5961;NA;43092;1A;Fumigación;28;50;50573,,,
PTL;PTX;CONTADOR;Pitalito;Huila;Regional;1.8573;-76.0856;AEROCIVIL;AEROCIVIL;1500;19;17/F/B/X/U;07 | 25;4221;2090;22/10/1974;NA;2B;Aerocivil;1251;41;41551,,,
PTO;NA;PIRIRI;Puerto Gaitán;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;50;50568,,,
PTS;NA;LA ESPERANZA;Puerto Salgar;Cundinamarca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;25;25572,,,
PTW;NA;GEMELOS DORADOS;Puerto Wilches;Santander;Aeródromo;7.2466;-73.7723;MILTON A. SALAZAR REY;EL MISMO;850;15;5670;09 | 27;314;6473;19/11/2013;09/01/2017;1A;Privado;242;68;68575,,,
PTZ;NA;YATAROS DE MELUA;Puerto López;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50573,,,
PUE;NA;PUERTO RICO;Puerto Rico;Meta;Aeródromo;2.9419;-73.2039;MUNICIPIO;MUNICIPIO;1080;15;12202;05 | 23;800;4022;NA;NA;2A;Público;469;50;50590,,,
PUL;NA;GAVIOTAS;Fuente de Oro;Meta;Aeródromo;3.4633;-73.6022;MISAEL RODRIGUEZ CASTAÑEDA;FAGA LTDA;720;10;2000;10 | 28;987;76;NA;42393;1A;Fumigación;62;50;50287,,,
PUU;PUU;TRES DE MAYO;Puerto Asís;Putumayo;Nacional;0.5054;-76.5008;AEROCIVIL;AEROCIVIL;1485;25;33112;01 | 19;809;115;02/09/1965;NA;3C;Aerocivil;18730;86;86568,,,
PVA;PVA;EL EMBRUJO;Providencia;San Andrés islas;Nacional;13.3572;-81.3579;AEROCIVIL;AEROCIVIL;1050;18;18.6/F/C/X/T;17 | 35;10;338;23/04/1969;NA;2B;Aerocivil;23333;88;88564,,,
PVO;NA;EL ALGODONAL;Pueblo Nuevo;Córdoba;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;23;23570,,,
PWI;NA;PUERTO WILCHES;Puerto Wilches;Santander;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;68;68575,,,
PWT;NA;PUERTO WILCHES;Puerto Wilches;Santander;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;68;68575,,,
PZA;PZA;PAZ DE ARIPORO;Paz de Ariporo;Casanare;Aeródromo;5.8819;-71.883;AEROCIVIL;AEROCIVIL;1506;20;29000;04 | 22;878;1591;06/06/1972;NA;2B;Aerocivil;772;85;85250,,,
PZI;NA;VENECIA DE LAS GUAMAS;Paz de Ariporo;Casanare;Aeródromo;5.6882;-70.7378;MAURICIO MEDINA NIÑO;MAURICIO MEDINA NIÑO;570;15;2000;18 | 36;404;5524;NA;04/12/2017;1A;Privado;126;85;85250,,,
PZR;NA;CHAPARRITO;Paz de Ariporo;Casanare;Aeródromo;5.56;-71.2172;HERNAN BRAYDI;PERENCO COLOMBIA LIMITED;840;25;5670;03 | 21;450;5603;NA;42295;2B;Privado;5697;85;85250,,,
QPM;NA;FURATENA;Quípama;Boyacá;Aeródromo;5.5275;-74.1869;MUNICIPIO;MUNICIPIO;860;16;5670;16 | 34;3850;390;NA;NA;2B;Público;150;15;15580,,,
QQA;NA;VILLANUEVA;Villanueva;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2140;85;85440,,,
RAV;RAV;CRAVO NORTE;Cravo Norte;Arauca;Aeródromo;6.3167;-70.2111;AEROCIVIL;AEROCIVIL;1122;18;12202;05 | 23;336;343;03/05/1968;NA;3C;Aerocivil;3504;81;81220,,,
RCH;RCH;ALMIRANTE PADILLA;Riohacha;La Guajira;Internacional;11.5262;-72.9267;MUNICIPIO;AEROCIVIL -ORIENTE S.A.S.;1900;30;96/F/B/X/T;10 | 28;43;187;02/02/1987;NA;4C;Aerocivil;6241;44;44001,,,
RCN;NA;RANCHO NARE;Puerto López;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;50;50573,,,
RDN;NA;RONDON;Arauca;Arauca;Aeródromo;6.2872;-71.1019;AEROCIVIL;MUNICIPIO -COMODATO;1300;30;12202;07 | 25;480;1261;NA;NA;2B;Aerocivil;1657;81;81001,,,
RGR;NA;RANCHO GRANDE;Ibagué;Tolima;Aeródromo;4.4419;-75.1167;ZORROZA Y SUAREZ LTDA.;CRUZ VERDE;760;10;2000;09 | 27;2877;4508;NA;03/09/2015;1A;Fumigación;18;73;73001,,,
RVE;RVE;COLONIZADORES;Arauca;Arauca;Regional;6.9504;-71.8562;ECOPETROL;AEROCIVIL;800;30;86/F/A/X/T;16 | 34;678;4158;25/09/1983;NA;3C;Aerocivil;6315;81;81001,,,
SAA;NA;SANTA ANA;Orocué;Casanare;Aeródromo;5.0875;-71.7902;FERNANDO REYES ISAZA Y CIA. S en C;FERNANDO REYES ISAZA Y CIA. S en C;600;15;3000;08 | 26;538;5962;NA;43087;1A;Privado;46;85;85230,,,
SAD;NA;EL BALSAMO;San Diego;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20750,,,
SAM;NA;SANTANA;Piedras;Tolima;Aeródromo;4.4083;-75.0244;MARIA CASAS MATIZ;CRUZ VERDE;640;10;2000;09 | 27;2290;1735;NA;43310;1A;Fumigación;NA;73;73547,,,
SAR;NA;EL BOSQUE;San Alberto;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;20;20710,,,
SAS;NA;SAN CARLOS;Maní;Casanare;Aeródromo;5.0096;-72.3237;WILSON GAMEZ M.;AVIOCOL LTDA.;850;10;3000;17 | 35;991;5187;NA;03/10/2016;1A;Fumigación;NA;85;85139,,,
SBD;NA;LA MAGDALENA;Sabana de Torres;Santander;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;414;68;68655,,,
SBN;NA;ISCUANDE;Santa Bárbara;Nariño;Aeródromo;2.4483;-77.9813;MUNICIPIO;MUNICIPIO;540;15;2300;18 | 36;150;1490;NA;NA;1A;Público;NA;52;52696,,,
SBT;SNT;LAS CRUCES;Sabana de Torres;Santander;Aeródromo;7.3833;-73.5055;MUNICIPIO;MUNICIPIO;1202;20;12202;12 | 30;459;9409;NA;NA;2B;Público;2335;68;68655,,,
SCA;NA;SUESCUN;San Carlos de Guaroa;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;50;50680,,,
SCG;NA;EL PRADO;San Carlos de Guaroa;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;50;50680,,,
SCM;NA;LA CABAÑA;San Carlos de Guaroa;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50680,,,
SCS;NA;SAN CARLOS DEL PLANAS;Santa Rosalía;Vichada;Aeródromo;4.0333;-70.8333;MUNICIPIO;MUNICIPIO;416;20;2500;06 | 24;400;3660;NA;NA;1A;Público;7;99;99624,,,
SCY;NA;SAN JERONIMO;Flandes;Tolima;Aeródromo;4.1932;-74.8615;ELVIRA PINEDA VERGARA;SANIDAD VEGETAL CRUZ;800;10;2000;03 | 21;1030;4217;NA;42968;1A;Fumigación;1;73;73275,,,
SDA;NA;SAN AGUSTIN- C.A.;Saldaña;Tolima;Aeródromo;3.9451;-74.9372;NELLY DE ESCOBAR;ERIBERTO ESCOBAR A.;300;10;600;01 | 19;1017;1442;NA;43305;UL;Privado;NA;73;73671,,,
SDG;NA;LA MANSION;San Carlos de Guaroa;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50680,,,
SFA;NA;SANTAFE DE ANTIOQUIA;Santa Fé de Antioquia;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;61;5;5042,,,
SFC;NA;SAN FRANCISCO;Garzón;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;41;41298,,,
SFL;NA;SAN FELIPE;Bugalagrande;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;76;76113,,,
SGG;NA;LA FLORIDA;San Carlos de Guaroa;Meta;Aeródromo;3.912;-73.2956;GILBERTO LOPEZ S.;FARO LTDA.;740;10;2000;09 | 27;771;1579;NA;NA;1A;Fumigación;2;50;50680,,,
SGL;NA;SAN GIL - LOS POZOS;San Gil;Santander;Aeródromo;6.5812;-73.128;MUNICIPIO;MUNICIPIO;1240;15;5670;17 | 35;5577;677;NA;NA;3A;Público;418;68;68679,,,
SGT;NA;SAN GERMAN;Natagaima;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;73;73483,,,
SGU;NA;YAGUARITO;San Carlos de Guaroa;Meta;Aeródromo;3.8817;-73.3403;ACEITES MANUELITA S.A.;ACEITES MANUELITA S.A.;1000;14;5670;07 | 25;837;4507;NA;42238;2A;Fumigación;83;50;50680,,,
SHL;NA;SANTA HELENA DE UPIA;Villanueva;Casanare;Aeródromo;4.3397;-72.7428;RUBEN A. PINZON GALINDO;ASAM LTDA.;794;10;2000;02 | 20;462;3095;NA;02/08/2013;1A;Fumigación;54;85;85440,,,
SIR;NA;SIRENAS;Yopal;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;190;85;85001,,,
SIS;NA;SANTA ISABEL;Mitú;Vaupés;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;486;97;97001,,,
SJB;NA;SAN JUAN DE URABA;San Juan de Urabá;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;5;5659,,,
SJE;SJE;JORGE E. GONZALEZ T.;San José del Guaviare;Guaviare;Regional;2.5796;-72.6393;GOBERNACION;DEPARTAMENTO;1450;20;22000;01 | 19;603;984;NA;NA;2B;Público;32581;95;95001,,,
SJM;NA;SAN JOSE DE MULATOS;Turbo;Antioquia;Aeródromo;8.35;-76.3333;MUNICIPIO;MUNICIPIO;440;20;1300;13 | 31;300;2989;NA;NA;1A;Público;1;5;5837,,,
SJN;NA;SAN JUAN CR;La Gloria;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20383,,,
SJR;NA;SAN JUAN DE URABA;San Juan de Urabá;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;5;5659,,,
SJT;NA;SAN JAVIER;Piedras;Tolima;Aeródromo;4.4014;-75.0681;MELENDEZ Y MELENDEZ LTDA;SANIDAD VEGETAL CRUZ;840;10;2000;10 | 28;2992;1682;NA;42511;1A;Fumigación;NA;73;73547,,,
SKGB;NA;MARCO FIDEL SUAREZ AFB;Cali;Valle del Cauca;Aeródromo;3.45689;-76.496514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;117;76;76001,,,
SKTI;NA;TOLEMAIDA AFB;Melgar;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;472;73;73449,,,
SLC;NA;SABANALARGA;Sabanalarga;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85;85300,,,
SLI;NA;LA BRAMADORA;Orocué;Casanare;Aeródromo;5.1914;-71.7439;SILVANA REYES DIAZ;SILVANA REYES DIAZ;520;10;2000;08 | 26;544;7088;NA;42779;1A;Privado;2;85;85230,,,
SLI;NA;LA BRAMADORA;Orocué;Casanare;Aeródromo;5.1914;-71.7439;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;85;85230,,,
SLM;NA;SAN LUIS;Granada;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;50;50313,,,
SLO;NA;YAGUARITO;San Carlos de Guaroa;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;50;50680,,,
SLR;NA;LOS FERIA GIRON;San Luis;Tolima;Aeródromo;4.2583;-75.0092;GERARDO HERNANDEZ FERIA;EL MISMO;1050;15;2000;14 | 32;1476;3870;NA;NA;2A;Privado;NA;73;73678,,,
SLU;NA;SANTA LUCIA;Ábrego;Norte de Santander;Aeródromo;8.0667;-73.2;INCORA LTDA;INCORA;1000;30;4000;01 | 19;4502;842;NA;NA;2B;Público;1;54;54003,,,
SLU;NA;SANTA LUCIA;Ábrego;Norte de Santander;Aeródromo;8.0667;-73.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;54;54003,,,
SLY;NA;MATENOVILLOS;San Luis de Palenque;Casanare;Aeródromo;5.2103;-71.8508;SANTIAGO CAMILO REYES DIAZ;SANTIAGO CAMILO REYES DIAZ;580;15;2000;04 | 22;584;6667;NA;41624;1A;Privado;3;85;85325,,,
SMA;NA;AGUAS BLANCAS;San Martín;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;20;20770,,,
SMD;NA;SABANETA;San Martín;Cesar;Aeródromo;8.0268;-73.5169;ALVARO ESCOBAR SAAVEDRA;ALVARO ESCOBAR SAAVEDRA;1000;18;5000;03 | 21;318;2494;NA;03/06/2017;1A;Privado;12;20;20770,,,
SMR;SMR;SIMON BOLIVAR;Santa Marta;Magdalena;Internacional;11.1197;-74.2473;AEROCIVIL;AEROCIVIL -ORIENTE S.A.S.;1700;40;69/F/A/X/T;01 | 19;22;352;17/05/1968;NA;3C;Aerocivil;45781;47;47001,,,
SMT;NA;LA CAPRICHOSA;San Martín;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;50;50689,,,
SNF;NA;SAN FELIPE CA;Orocué;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;85;85230,,,
SNG;NA;SANTIAGO No.1;Maní;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125;85;85139,,,
SNL;NA;HIPILANDIA;San Martín;Cesar;Aeródromo;7.8899;-73.4588;PALMAS DEL CESAR S.A;PALMAS DEL CESAR S.A.;620;18;4000;18 | 36;311;122;NA;03/02/2018;1A;Privado;390;20;20770,,,
SNM;NA;LA DIVA;Santa Marta;Magdalena;Aeródromo;11.2448;-73.7165;INVERSIONES TIN S.A.S.;ASA S.A.S.;620;10;2000;01 | 19;5249;5383;NA;07/11/2017;1A;Fumigación;8;47;47001,,,
SNP;NA;SAN PABLO;Lorica;Córdoba;Aeródromo;9.0598;-75.7804;PROAGROCOR  S.A.;AEROPENORT LTDA.;650;10;2000;05 | 23;15;707;NA;08/04/2017;1A;Fumigación;14;23;23417,,,
SNR;NA;SAN MARTIN;San Martín;Meta;Regional;3.7023;-73.6881;AEROCIVIL;AEROCIVIL;700;15;3000;03 | 21;1380;644;05/06/1967;NA;1A;Aerocivil;181;50;50689,,,
SNU;NA;SAN MIGUEL;San Carlos de Guaroa;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;50;50680,,,
SOR;NA;EL RINCON DE MUCURA;San Onofre;Sucre;Aeródromo;9.7743;-75.6382;INVERSIONES EL RINCON DE MUCURA;INVER. EL RINCON DE MUCURA;900;15;6400;10 | 28;10;1443;NA;NA;2A;Privado;36;70;70713,,,
SOX;SOX;ALBERTO LLERAS CAMARGO;Firavitoba;Boyacá;Regional;5.6765;-72.9698;MUNICIPIO SOGAMOSO;MUNICIPIO SOGAMOSO;1500;24;18/F/D/Y/T;04 | 22;8149;102;NA;NA;3C;Público;224;15;15272,,,
SPD;NA;SAN PEDRO DE URABA;San Pedro de Urabá;Antioquia;Aeródromo;8.2898;-76.3748;MUNICIPIO;MUNICIPIO;853;14;6400;02 | 20;417;984;NA;NA;1A;Público;821;5;5665,,,
SPE;NA;SAN PEDRO CORAL;Buenavista;Sucre;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;70;70110,,,
SPO;NA;SAN PABLO - INCORA;María la Baja;Bolívar;Aeródromo;10.0472;-75.2653;INCORA LTDA;FALAN;720;18;2000;02 | 20;54;8827;NA;NA;1B;Público;5;13;13442,,,
SQE;NA;SAN LUIS DE PALENQUE;San Luis de Palenque;Casanare;Aeródromo;5.4175;-71.7308;MUNICIPIO;MUNICIPIO;940;20;12202;11 | 19;700;3660;NA;NA;1A;Público;1;85;85325,,,
SRB;NA;SANTA ROSA DE SIMITI;Simití;Bolívar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;13;13744,,,
SRO;SSL;SANTA ROSALIA;Santa Rosalía;Vichada;Aeródromo;5.1337;-70.8718;CORREGIMIENTO;CORREGIMIENTO;800;25;12202;05 | 23;500;264;NA;NA;1A;Público;2018;99;99624,,,
SRS;SRS;EL ALGARROBO;San Marcos;Sucre;Aeródromo;8.6874;-75.1624;AEROCIVIL;AEROCIVIL;1200;136;6000;10 | 28;135;3890;NA;NA;2A;Aerocivil;354;70;70708,,,
SRT;NA;LA LOMA;San Martín;Meta;Aeródromo;3.6742;-73.4039;INVERSIONES BOHORQUEZ CASTAÑO E HIJOS;FAGAN S. EN C.;840;10;2000;10 | 28;852;5185;NA;03/10/2016;1A;Fumigación;6;50;50689,,,
SRV;NA;LOS COLONIZADORES;Saravena;Arauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1472;81;81736,,,
SSC;NA;SALA 77;Valledupar;Cesar;Aeródromo;10.3522;-73.3298;ALBERTO MARIO VARGAS;AMA LTDA.;600;15;2000;06 | 24;381;4444;NA;41905;1A;Fumigación;1;20;20001,,,
SSE;NA;SAN JOSE-EFA;Lérida;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;73;73408,,,
SSL;NA;FALCON;Saldaña;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;73;73671,,,
STA;NA;EL EDEN;Santa Ana;Magdalena;Aeródromo;9.5197;-74.3392;JORGE IGNACIO AGUDELO;JORGE I. AGUDELO RESTREPO;840;18;5700;18 | 36;164;4941;NA;01/10/2017;1A;Privado;8;47;47707,,,
STB;NA;SANTA BARBARA;Cumaral;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;50;50226,,,
STR;NA;SANTA RITA DE ITUANGO;Ituango;Antioquia;Aeródromo;7.3348;-75.6137;MUNICIPIO;MUNICIPIO;700;15;2300;03 | 21;6400;2798;NA;NA;1B;Público;11;5;5361,,,
SVI;SVI;EDUARDO FALLA SOLANO;San Vicente del Caguán;Caquetá;Regional;2.1522;-74.7663;AEROCIVIL;AEROCIVIL;1500;26;26/F/C/X/T/;14 | 32;875;141;02/02/1987;NA;3C;Aerocivil;5161;18;18753,,,
SVT;NA;SAN VICENTE DE CHUCURI;San Vicente de Chucurí;Santander;Aeródromo;6.9056;-73.4339;MUNICIPIO;MUNICIPIO;540;15;3000;03 | 21;1784;5854;NA;NA;1A;Público;974;68;68689,,,
SXG;NA;SAN GERARDO;El Cerrito;Valle del Cauca;Aeródromo;3.742;-76.3899;CARLOS ALBERTO ARANGO N.;EL MISMO;340;10;400;12 | 30;3200;5387;NA;43065;UL;Privado;NA;76;76248,,,
TAP;TCD;TARAPACA;Tarapacá;Amazonas;Aeródromo;-2.8957;-69.7497;GOBERNACION;EL MISMO;1080;14;7.36/F/D/Y/T;12 | 30;243;3788;NA;NA;2A;Público;891;91;91798,,,
TAR;NA;TARAIRA;Taraira;Vaupés;Aeródromo;-0.5679;-69.6381;MUNICIPIO;MUNICIPIO;820;20;12202;07 | 25;512;7354;NA;NA;1A;Público;2687;97;97666,,,
TAU;NA;TAURAMENA;Tauramena;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;85;85410,,,
TBI;NA;TIBIRI;Puerto Gaitán;Meta;Aeródromo;3.95;-71.1333;CORREGIMIENTO;CORREGIMIENTO;650;20;2500;16 | 34;740;2989;NA;NA;1A;Público;1;50;50568,,,
TBQ;TBD;TIMBIQUI;Timbiquí;Cauca;Aeródromo;2.7786;-77.668;MUNICIPIO;MUNICIPIO;1127;12;19/F/C/X/T;16 | 34;18;9248;NA;NA;1B;Público;3315;19;19809,,,
TBU;NA;TIBU;Tibú;Norte de Santander;Aeródromo;8.6309;-72.7307;ECOPETROL;ECOPETROL;1400;18;14/F/D/X/T;09 | 27;171;759;NA;07/03/2016;2A;Privado;3994;54;54810,,,
TCA;NA;TAMACA;Agustín Codazzi;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20013,,,
TCO;NA;LA FLORIDA;San Andrés de Tumaco;Nariño;Nacional;1.8144;-78.749;AEROCIVIL;AEROCIVIL;1600;30;23/F/A/X/T;06 | 24;10;455;19/05/1969;NA;3C;Aerocivil;12101;52;52835,,,
TDA;TDA;TRINIDAD;Trinidad;Casanare;Aeródromo;5.4349;-71.6584;AEROCIVIL;AEROCIVIL;1148;10;12202;05 | 23;560;644;05/06/1967;NA;2A;Aerocivil;4313;85;85430,,,
TDI;NA;ELF TRINIDAD;Trinidad;Casanare;Aeródromo;5.5016;-71.7831;PERENCO COLOMBIA LIMITED;PERENCO COLOMBIA LIMITED;600;18;5000;06 | 24;629;7235;NA;03/01/2017;1A;Privado;3404;85;85430,,,
TES;NA;TESALIA;Tesalia;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;41;41797,,,
TIB;NA;TIERRA BLANCA;Roldanillo;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;76;76622,,,
TLO;NA;SAN DIEGO;Tello;Huila;Aeródromo;3.0804;-75.1875;ALICIA SOLANO Y CIA.;SANAR S.A.;620;10;3000;15 | 33;1968;693;NA;41327;1A;Fumigación;5;41;41799,,,
TLU;TLU;TOLU;Tolú Viejo;Sucre;Regional;9.5095;-75.5859;AEROCIVIL;AEROCIVIL;1350;16;12202;17 | 35;15;455;19/05/1969;NA;2A;Aerocivil;1967;70;70823,,,
TMA;NA;TARQUI;Tauramena;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;85;85410,,,
TME;TME;GUSTAVO VARGAS;Tame;Arauca;Regional;6.451;-71.7601;AEROCIVIL;AEROCIVIL;2000;30;33112;07 | 25;1199;343;03/05/1968;NA;4C;Aerocivil;5850;81;81794,,,
TNU;NA;PROVIDENCIA;Tauramena;Casanare;Aeródromo;4.9714;-72.5997;SOCIEDAD VALDERRAMA MOYA;SERFABA S.A.S.;710;10;2000;07 | 25;793;1207;NA;43270;1A;Fumigación;39;85;85410,,,
TOC;NA;TOCARIA;Yopal;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;85;85001,,,
TPI;NA;TOMACHIPAN;San José del Guaviare;Guaviare;Aeródromo;2.2757;-72.7747;GOBERNACION;JUNTA DE ACCION COMUNAL;500;10;5680;14 | 32;580;6254;NA;NA;1A;Público;1077;95;95001,,,
TQM;NA;TEQUENDAMA;Aracataca;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;47;47053,,,
TQS;SQF;SOLANO;Solano;Caquetá;Aeródromo;0.7458;-75.2344;CORREGIMIENTO(MUNICIPIO);CORREGIMIENTO(MUNICIPIO);525;16;2300;06 | 24;860;3660;NA;NA;1A;Público;1530;18;18756,,,
TRB;TRB;GONZALO MEJIA;Turbo;Antioquia;Aeródromo;8.0745;-76.741;AEROCIVIL;COMODATO- ARMADA;1004;13;12202;16 | 34;7;3373;NA;NA;2A;Aerocivil;2581;5;5837,,,
TRD;NA;PALMARITO 2;Trinidad;Casanare;Aeródromo;5.3322;-71.2347;PERENCO COLOMBIA LIMITED;PERENCO COLOMBIA LIMITED;840;25;12000;04 | 22;459;5603;NA;42295;1A;Privado;5531;85;85430,,,
TRE;NA;LA ENVIDIA;Tauramena;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;85;85410,,,
TRI;NA;LOS TOROS;Trinidad;Casanare;Aeródromo;5.4275;-71.2164;HORACIO PAN BARRAGAN;PERENCO COLOMBIA LIMITED;1100;20;12202;03 | 21;450;1405;NA;42089;1A;Privado;6107;85;85430,,,
TRM;NA;LA CONCORDIA;Tauramena;Casanare;Aeródromo;4.9311;-72.6419;VICTOR H-TORRES Z.;AVIOCOL LTDA.;780;10;3000;11 | 19;813;78;NA;42400;1A;Fumigación;NA;85;85410,,,
TRP;NA;TARAPACA;Tarapacá;Amazonas;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;891;91;91798,,,
